add client,2021-05-26 19:43:35.681
open account,2021-05-26 19:43:39.521
add money to account,2021-05-26 19:43:46.317
retrieve money from account,2021-05-26 19:43:51.599
add client,2021-05-26 19:43:57.872
open account,2021-05-26 19:44:00.193
exchange money between accounts,2021-05-26 19:44:08.616
open client card,2021-05-26 19:44:21.263
